crop_name,country_code,adm_id,harvest_year,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_rsm_z,avg_ndvi_z
wheat,IN,IN-01-0051,2003,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.3423261817937906,-1.354160665427002
wheat,IN,IN-01-0051,2004,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.51868477417258,-1.2802491750620961
wheat,IN,IN-01-0051,2005,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.4920091979150268,-0.7087199325628015
wheat,IN,IN-01-0051,2006,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.04080866684678371,-0.30057761954217616
wheat,IN,IN-01-0051,2007,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.598265892263118,-0.1568610164323429
wheat,IN,IN-01-0051,2008,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.8941353817565156,0.46202365827230224
wheat,IN,IN-01-0051,2009,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.22381056521581796,-0.7872404805772987
wheat,IN,IN-01-0051,2010,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.7854779145690063,1.5354686289085087
wheat,IN,IN-01-0051,2011,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.2975978300764541,0.11312790310982265
wheat,IN,IN-01-0051,2012,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.2075463920077323,-0.5690465945346945
wheat,IN,IN-01-0051,2013,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.6523343493438051,1.0036953016974226
wheat,IN,IN-01-0051,2014,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.39260189203485346,1.4254246435139637
wheat,IN,IN-01-0051,2015,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.8746446465569183,0.05183958175469398
wheat,IN,IN-01-0051,2016,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.32764933119093426,0.8290668425118354
wheat,IN,IN-01-0051,2017,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.23936924653611713,1.5650395221363225
wheat,IN,IN-01-0052,2003,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.5109349332846096,-2.4107398923047403
wheat,IN,IN-01-0052,2004,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.384962452724775,-0.6277363418487448
wheat,IN,IN-01-0052,2005,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.426705484262761,0.40369735759226066
wheat,IN,IN-01-0052,2006,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.09123631120943244,-0.69205988765633
wheat,IN,IN-01-0052,2007,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.0213286109867155,0.7156101305960798
wheat,IN,IN-01-0052,2008,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.1151089533772451,0.5210596166096163
wheat,IN,IN-01-0052,2009,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.4874517174393754,-0.20608484118253523
wheat,IN,IN-01-0052,2010,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.5421411348685736,2.1110925296428418
wheat,IN,IN-01-0052,2011,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.7093743559154185,0.2220115527673084
wheat,IN,IN-01-0052,2012,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.2642519935075751,-0.3478724934227348
wheat,IN,IN-01-0052,2013,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.0018097944049410642,-0.22684893316253257
wheat,IN,IN-01-0052,2015,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.6895406625567949,0.6666339571215272
wheat,IN,IN-01-0052,2017,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.35937410916198087,0.24796666774230078
wheat,IN,IN-01-0053,2003,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-1.8640141313447909,-1.4879633936864056
wheat,IN,IN-01-0053,2005,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.23719306076712984,0.06540287632615656
wheat,IN,IN-01-0053,2006,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.3933972858035144,0.21395703081924397
wheat,IN,IN-01-0053,2007,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,1.3137115894604803,0.7378326217922988
wheat,IN,IN-01-0053,2008,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.9953519025420705,-0.02569187015865261
wheat,IN,IN-01-0053,2009,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.1241620062326043,-0.6129598011842318
wheat,IN,IN-01-0053,2010,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,1.4264758435031428,1.602886433317545
wheat,IN,IN-01-0053,2011,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.1311865086932606,1.6351597368111481
wheat,IN,IN-01-0053,2013,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.22425098364362203,-0.3718072051905281
wheat,IN,IN-01-0053,2014,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-1.1379451834875693,-1.6079609842155518
wheat,IN,IN-01-0053,2016,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-1.0230662470202356,0.05501447391405475
wheat,IN,IN-01-0053,2017,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.37220165150594625,0.5401528665593103
wheat,IN,IN-02-0902,2003,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.9291316879567102,-0.42349531096238524
wheat,IN,IN-02-0902,2004,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.0781879755561625,-0.9379122150504415
wheat,IN,IN-02-0902,2005,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,0.2168004035170326,-0.993622067751148
wheat,IN,IN-02-0902,2006,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,0.007167078832864885,-0.5329901170775613
wheat,IN,IN-02-0902,2007,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.595853313739681,-1.6297950183458458
wheat,IN,IN-02-0902,2008,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,1.29157678665633,-0.23210562919909447
wheat,IN,IN-02-0902,2009,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.6529337612357584,0.742500043302312
wheat,IN,IN-02-0902,2010,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-1.0755572437454697,-1.0760479919739367
wheat,IN,IN-02-0902,2011,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.35661310969633936,0.8566049769407358
wheat,IN,IN-02-0902,2012,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.8869545643221826,0.49413488860215476
wheat,IN,IN-02-0902,2013,342.462,101.769,696.0,21.895,26.18638,85.30032,3179.0,15.556,1.474,5.0,-0.2704868793802723,1.578359317863891
