crop_name,country_code,adm_id,harvest_year,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_rsm_z,yield_z
wheat,IN,IN-01-0051,2003,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.3423261817937906,-0.966756848264858
wheat,IN,IN-01-0051,2004,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.51868477417258,-1.1027669660175716
wheat,IN,IN-01-0051,2005,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.4920091979150268,-0.4301689864459322
wheat,IN,IN-01-0051,2006,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.04080866684678371,-1.031967178694241
wheat,IN,IN-01-0051,2007,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.598265892263118,-0.8903676040475803
wheat,IN,IN-01-0051,2008,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.8941353817565156,-0.5140108398551392
wheat,IN,IN-01-0051,2009,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.22381056521581796,-0.6854208512695182
wheat,IN,IN-01-0051,2010,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.7854779145690063,1.160963076031021
wheat,IN,IN-01-0051,2011,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.2975978300764541,0.4995440102472759
wheat,IN,IN-01-0051,2012,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.2075463920077323,0.9914162169146244
wheat,IN,IN-01-0051,2013,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.6523343493438051,-0.15255929404655738
wheat,IN,IN-01-0051,2014,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.39260189203485346,0.7026276107273554
wheat,IN,IN-01-0051,2015,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.8746446465569183,-0.20286440609208173
wheat,IN,IN-01-0051,2016,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.32764933119093426,2.7763161183817453
wheat,IN,IN-01-0051,2017,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.23936924653611713,-0.2513063658396237
wheat,IN,IN-01-0052,2003,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.5109349332846096,-1.0446494235551116
wheat,IN,IN-01-0052,2004,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.384962452724775,-1.1988858072336006
wheat,IN,IN-01-0052,2005,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.426705484262761,-0.2809305559858194
wheat,IN,IN-01-0052,2006,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.09123631120943244,-1.1192799317866384
wheat,IN,IN-01-0052,2007,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.0213286109867155,-0.8854376726611874
wheat,IN,IN-01-0052,2008,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.1151089533772451,1.647024239995293
wheat,IN,IN-01-0052,2009,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.4874517174393754,-0.39038863472539204
wheat,IN,IN-01-0052,2010,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.5421411348685736,1.4803494382782163
wheat,IN,IN-01-0052,2011,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.7093743559154185,1.3360637890305975
wheat,IN,IN-01-0052,2012,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.2642519935075751,1.0972461626897112
wheat,IN,IN-01-0052,2013,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.0018097944049410642,-0.11425575426874242
