crop_name,country_code,adm_id,harvest_year,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_prec_z,yield_z
wheat,IN,IN-01-0051,2001,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.7864221740648001,-0.23267484285979984
wheat,IN,IN-01-0051,2002,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.3610553735780175,0.3299971511308793
wheat,IN,IN-01-0051,2003,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.5639640432195814,-0.966756848264858
wheat,IN,IN-01-0051,2004,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.6415039413428093,-1.1027669660175716
wheat,IN,IN-01-0051,2005,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.28924035416712884,-0.4301689864459322
wheat,IN,IN-01-0051,2006,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.6717174553806319,-1.031967178694241
wheat,IN,IN-01-0051,2007,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.880344112469667,-0.8903676040475803
wheat,IN,IN-01-0051,2008,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.4896545110231211,-0.5140108398551392
wheat,IN,IN-01-0051,2009,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.2960489043508752,-0.6854208512695182
wheat,IN,IN-01-0051,2010,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.3612496178960753,1.160963076031021
wheat,IN,IN-01-0051,2011,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.32614978023635766,0.4995440102472759
wheat,IN,IN-01-0051,2012,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.7628000244505325,0.9914162169146244
wheat,IN,IN-01-0051,2013,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.2150022371355524,-0.15255929404655738
wheat,IN,IN-01-0051,2014,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.4200834515421215,0.7026276107273554
wheat,IN,IN-01-0051,2015,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.5099031447042114,-0.20286440609208173
wheat,IN,IN-01-0051,2016,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.03642494056330732,2.7763161183817453
wheat,IN,IN-01-0051,2017,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.4756347109133362,-0.2513063658396237
wheat,IN,IN-01-0052,2001,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.4254396847713086,-0.08937891819156675
wheat,IN,IN-01-0052,2003,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-2.1328818113973615,-1.0446494235551116
wheat,IN,IN-01-0052,2004,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.8394531162158746,-1.1988858072336006
wheat,IN,IN-01-0052,2005,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.90740048268021,-0.2809305559858194
wheat,IN,IN-01-0052,2006,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.7046264234422159,-1.1192799317866384
wheat,IN,IN-01-0052,2007,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.8810950756098791,-0.8854376726611874
wheat,IN,IN-01-0052,2008,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.781468777204448,1.647024239995293
wheat,IN,IN-01-0052,2009,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.4859574070644712,-0.39038863472539204
wheat,IN,IN-01-0052,2010,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.6474602282396569,1.4803494382782163
wheat,IN,IN-01-0052,2011,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.4519705265031947,1.3360637890305975
wheat,IN,IN-01-0052,2012,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.2146263805637063,1.0972461626897112
wheat,IN,IN-01-0052,2013,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.3490058708388736,-0.11425575426874242
wheat,IN,IN-01-0052,2015,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.064366431291578,-0.5296989167575757
