Variable,Degree_Centrality,Betweenness,Closeness
avg_fpar,0.42857142857142855,0.0,0.5401785714285714
awc,0.3571428571428571,0.007326007326007326,0.3516483516483517
avg_rad,0.3571428571428571,0.03571428571428572,0.1607142857142857
bulk_density,0.3571428571428571,0.01282051282051282,0.14285714285714285
harvest_year,0.3571428571428571,0.015567765567765568,0.21428571428571427
avg_ndvi,0.2857142857142857,0.0,0.3214285714285714
avg_tmin,0.2857142857142857,0.019230769230769232,0.14285714285714285
drainage_class,0.2857142857142857,0.0,0.0
avg_cwb,0.2857142857142857,0.019230769230769232,0.16326530612244897
avg_tavg,0.21428571428571427,0.0,0.0
avg_ssm,0.21428571428571427,0.0,0.3181818181818182
avg_tmax,0.21428571428571427,0.0,0.0
crop_area_percentage,0.21428571428571427,0.0,0.0
avg_rsm,0.14285714285714285,0.0,0.0
yield,0.0,0.0,0.0
