,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
harvest_year,6715.0,2010.1146686522711,4.30809494188116,2003.0,2006.0,2010.0,2014.0,2017.0,-0.03465553584085589,-1.2049271762564508
yield,6715.0,2.3050376768428893,1.133130753688639,0.107,1.3795,2.1,3.0785,5.86,0.5502168542399837,-0.48400373219810167
production,6715.0,197293.6545048399,265489.7045304487,0.0,6540.0,86900.0,291770.0,1969000.0,2.0450076928825904,5.0813494737275935
harvest_area,6715.0,64669.34475055845,69370.79884395574,0.0,4550.0,42920.0,98665.0,397000.0,1.2800146555064549,1.401095986087205
sos,6715.0,313.4138405063291,90.37540417858547,0.457,335.414,340.188,343.822,364.482,-2.996882340843987,7.0811701062989325
eos,6715.0,108.86538883097545,16.53996815612306,82.271,100.965,104.371,110.738,186.818,2.304099703542218,6.138931945297369
awc,6715.0,13.670490692479524,1.7715082684409476,9.043,12.562,13.875,14.676,22.808,0.3471553742917694,2.3580669450665437
bulk_density,6715.0,1.49837617274758,0.0712797479695646,1.076,1.451,1.504,1.551,1.661,-1.1949742430391679,4.144532750406148
drainage_class,6715.0,4.592553983618764,0.6848750779399261,2.0,4.0,5.0,5.0,6.0,-0.33873232837518646,1.440696136155919
latitude,6715.0,24.646720805658973,3.822398158126693,10.04,21.9663,25.07111,27.07407,32.57659,-0.35420037251319025,-0.10679814399786824
longitude,6715.0,80.22488021444526,5.283704554263231,69.54958,76.31018,79.08939,84.10094,95.32178,0.5668992813085477,-0.19764356250197146
region_area,6715.0,5012.432315711095,4262.210447982082,445.0,2531.0,3927.0,6167.0,40681.0,3.8717561644554195,23.418257434012748
crop_area,6715.0,757.8947133283693,1014.1580225976984,0.0,11.3,332.9,1081.9,5564.4,1.801172936748323,3.3552992142092797
crop_area_percentage,6715.0,18.640112137006703,23.300322629352102,0.0,0.294,8.059,30.604,89.43,1.3029233374203935,0.7354335517570845
avg_tmin,6715.0,15.188650170391874,2.8055318337835424,-3.7462563600782777,13.316271097744362,15.083102941176469,17.355319632414368,22.464090909090917,-0.5934204908165955,2.951031899931897
avg_tmax,6715.0,27.860567545539336,3.0045993685165135,6.026554901960783,26.07752841269842,27.82994696969697,30.18706750572082,35.05144444444444,-0.9756614557072498,4.909657707753912
avg_tavg,6715.0,21.236907842508835,2.797734483940816,1.5623307240704505,19.538835733769776,21.337617647058824,23.369953214395075,28.112986301369865,-0.9031355369806129,3.9509443120757406
avg_rad,6715.0,18400002.04734567,1460322.2221834238,12914376.56148374,17413960.256127454,18502735.196850397,19552679.16960665,21950268.85714286,-0.41506986373699295,-0.21544467864235184
avg_et0,6715.0,4.122731779293235,0.6470952781060926,2.5009918699186997,3.6534932238037556,4.103790909090909,4.592866620777295,6.151666666666667,0.10413362604261828,-0.5387062967165352
avg_vpd,6715.0,26.130808647643065,6.743787079948787,5.432550980392156,21.161088891891893,26.038757142857147,31.655176950998182,43.781100775193806,-0.12203510511884307,-0.7207941349088549
avg_cwb,6715.0,-3.134805287474749,2.2012846878352192,-6.150550724637681,-4.356804026194519,-3.671454545454545,-2.902818440502587,8.308586345381526,2.4807271289550665,6.592523984568379
avg_ssm,6715.0,4.053724720510817,1.123384829294184,0.7939178082191781,3.419876841085271,3.854392,4.49834953255964,8.382296812749004,0.94468098221081,1.745271942181183
avg_rsm,6715.0,227.5950060635563,53.65172228927948,54.4584,185.08525954861113,216.5755797101449,273.20564237205906,422.8261972111554,0.4801007807658882,0.047152122340910374
avg_ndvi,6715.0,0.4476943089779332,0.09075912986214768,0.0922222222222222,0.38581801470588234,0.4496315789473684,0.5079374999999999,0.8289473684210527,-0.030415236336235062,0.6544122172313105
avg_fpar,6715.0,40.52449088433516,10.229294344644927,3.8805,33.50064423076923,40.545,46.75466025641026,90.04,0.2755560237006262,1.2044603851471245
