Edge
avg_tavg --> avg_ssm
avg_rad --> avg_ssm
harvest_year --> avg_ssm
harvest_year --> avg_ssm
avg_rsm --> avg_ndvi
avg_rsm --> awc
avg_tmin --> avg_ndvi
bulk_density --> avg_ndvi
crop_area_percentage --> avg_ndvi
avg_tavg --> avg_fpar
avg_rad --> avg_fpar
avg_cwb --> avg_fpar
awc --> avg_fpar
bulk_density --> avg_fpar
harvest_year --> avg_fpar
avg_tavg --> harvest_year
avg_tmax --> avg_tmin
avg_tmin --> avg_rad
drainage_class --> avg_tmin
avg_tmax --> avg_rad
avg_tmax --> avg_cwb
avg_rad --> avg_cwb
avg_cwb --> awc
bulk_density --> awc
drainage_class --> awc
drainage_class --> bulk_density
crop_area_percentage --> bulk_density
drainage_class --> harvest_year
crop_area_percentage --> harvest_year
