crop_name,country_code,adm_id,harvest_year,latitude,longitude,awc,bulk_density,drainage_class,region_area,crop_area,crop_area_percentage,sos,eos,yield,production,harvest_area,avg_tmin,avg_tmax,avg_tavg,avg_rad,avg_et0,avg_vpd,avg_cwb,avg_ssm,avg_rsm,avg_ndvi,avg_fpar
wheat,IN,IN-01-0047,2017,17.52128,81.18046,14.203,1.506,4,8316,20.2,0.243,320.213,92.669,1.0,10,10,20.3906159420289,32.7754927536231,26.0823478260869,19462569.7391304,4.52713768115942,31.0326739130434,-4.37139855072463,3.92633333333333,244.065007246376,0.569833333333333,54.2831428571428
wheat,IN,IN-01-0049,2010,16.39034,79.72043,15.192,1.542,4,11398,72.4,0.635,284.497,87.67,1.5,60,40,21.4230535714285,32.6175833333333,26.1638273809523,18349946.6041666,4.51416666666666,28.3045952380952,-3.80298214285714,4.6191369047619,254.904083333333,0.57747619047619,55.225625
wheat,IN,IN-01-0051,2003,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.304,210,690,21.0649025974025,33.4995584415584,27.1578506493506,20224680.8571428,5.36661038961039,36.000909090909,-5.28725974025974,2.87066197183098,273.150971830985,0.369894736842105,33.128
wheat,IN,IN-01-0051,2004,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.231,90,390,20.5750064935064,33.1826363636363,26.735961038961,20475663.590909,5.34634415584415,35.9872142857142,-5.18211038961039,2.81593506493506,273.161974025974,0.367157894736842,33.340625
wheat,IN,IN-01-0051,2005,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.592,420,710,20.6962516129032,33.2937548387096,26.8643806451612,20566023.548387,5.27537419354838,35.2283483870967,-5.07314193548387,2.81311612903225,273.477380645161,0.387052631578947,35.966375
wheat,IN,IN-01-0051,2006,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.269,180,670,20.1352597402597,33.124487012987,26.4742402597402,20623916.1168831,5.20242857142857,35.9398766233766,-4.90233116883116,4.60883766233766,284.335012987013,0.418210526315789,39.099875
wheat,IN,IN-01-0051,2007,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.345,200,580,20.7756688311688,33.3495389610389,26.9143181818181,20402287.3246753,5.36833116883116,35.8629545454545,-5.29091558441558,4.04570129870129,279.581649350649,0.382842105263157,35.8308125
wheat,IN,IN-01-0051,2008,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.547,410,750,19.969487012987,32.0764545454545,25.7641363636363,19740380.3733766,4.88608441558441,31.3638181818181,-3.75890259740259,4.95165584415584,285.305298701298,0.426684210526315,39.3015625
wheat,IN,IN-01-0051,2009,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.455,250,550,20.5271225806451,33.2870451612903,26.7359870967741,20219197.6354838,5.18066451612903,35.6946967741935,-4.57335483870967,4.40710322580645,284.503806451612,0.414473684210526,38.79075
wheat,IN,IN-01-0051,2010,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,1.446,810,560,21.4788636363636,33.1873116883116,26.9446298701298,19697970.7077922,5.07605194805194,34.1153246753246,-4.51542857142857,4.60735064935065,285.380136363636,0.433263157894736,40.382125
wheat,IN,IN-01-0051,2011,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,1.091,240,220,20.4937792207792,33.2613181818181,26.4839935064935,20276839.3863636,5.28581818181818,36.039409090909,-4.84264935064935,4.95040259740259,290.789461038961,0.438736842105263,41.9195625
wheat,IN,IN-01-0051,2012,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,1.355,420,310,20.5760194805194,33.6322012987013,26.6915194805194,20815629.2922077,5.38411688311688,37.2033831168831,-5.25937012987012,3.64694155844155,276.077506493506,0.389842105263157,36.17175
wheat,IN,IN-01-0051,2013,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.741,200,270,21.3218387096774,34.0076129032258,27.2853032258064,20568871.4903225,5.47210322580645,37.4078838709677,-5.28856129032258,3.22704516129032,275.329922580645,0.413526315789473,38.8986249999999
wheat,IN,IN-01-0051,2014,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,1.2,60,50,20.4446168831168,32.8002922077922,26.2701948051948,20113750.3766233,5.27451298701298,34.2851753246753,-5.11906493506493,4.31921428571428,281.147292207792,0.445105263157894,41.7646875
wheat,IN,IN-01-0051,2015,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.714,100,140,20.7112987012987,32.9431948051947,26.5439935064935,19978879.1980519,5.14112987012987,34.100987012987,-4.53916233766233,3.73728571428571,276.517259740259,0.436894736842105,41.7545
wheat,IN,IN-01-0051,2016,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,2.313,70,30,22.0336363636363,34.3591883116883,27.9639285714285,19724729.262987,5.4160974025974,37.4717207792207,-4.80681168831168,3.41025974025974,277.548993506493,0.409105263157894,37.5461875
wheat,IN,IN-01-0051,2017,15.56859,77.82124,15.396,1.594,4,17419,186.8,1.072,313.989,102.88,0.688,10,20,21.4416322580645,34.3019548387096,27.6741354838709,20679943.9354838,5.50830322580645,39.5460322580645,-5.30236774193548,3.30203225806451,274.521503225806,0.417473684210526,39.1039375
wheat,IN,IN-01-0052,2003,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,0.293,120,410,20.3875986842105,32.6335592105263,26.5575855263157,20603970.5394736,5.47318421052631,34.4335394736842,-5.40408552631578,2.6465,261.726528571428,0.330842105263157,29.1536249999999
wheat,IN,IN-01-0052,2004,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,0.231,90,390,19.7406513157894,32.1216184210526,25.9361513157894,20853132.6513157,5.39900657894736,33.6072763157894,-5.20830921052631,2.46028289473684,261.335921052631,0.316210526315789,29.5529333333333
wheat,IN,IN-01-0052,2005,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,0.6,180,300,19.957339869281,32.3236797385621,26.1836666666666,20947565.2549019,5.35510457516339,33.2998104575163,-5.05731372549019,2.69691503267973,262.554869281045,0.308421052631578,27.6060625
wheat,IN,IN-01-0052,2006,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,0.263,50,190,19.100822368421,31.499197368421,25.2964868421052,20816198.5789473,5.10551315789473,31.6299078947368,-4.61585526315789,4.66107236842105,276.92122368421,0.366842105263157,33.4855625
wheat,IN,IN-01-0052,2007,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,0.357,100,280,20.0003092105263,32.2809868421052,26.1581907894736,20797461.2763157,5.45720394736842,33.6684342105263,-5.32324342105263,3.8645197368421,269.121625,0.332421052631579,29.7759375
wheat,IN,IN-01-0052,2008,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,1.375,220,160,19.3459736842105,31.1567894736842,25.1416184210526,19921870.3388157,4.96596052631579,29.5093289473684,-3.66811842105263,4.98508552631578,277.808513157894,0.365842105263157,33.7524666666666
wheat,IN,IN-01-0052,2009,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,0.556,100,180,19.7673790849673,32.2736405228758,26.0185947712418,20534659.3758169,5.28469934640522,33.7393529411764,-4.57976470588235,4.3816339869281,275.48502614379,0.345157894736842,31.1546249999999
wheat,IN,IN-01-0052,2010,14.8756,77.34445,13.38,1.604,4,19428,118.1,0.608,314.176,101.958,1.308,170,130,20.8469013157894,32.2639539473684,26.3572565789473,19885657.0723684,5.15609868421052,32.2811513157894,-4.63761842105263,4.67603947368421,278.456565789473,0.36178947368421,33.553125
