crop_name,country_code,adm_id,harvest_year,x,y,pair
wheat,IN,IN-01-0047,2017,-0.11340804192688285,1.3451247070555088,ssm_fpar
wheat,IN,IN-01-0049,2010,0.5033486966287761,1.4372671654025482,ssm_fpar
wheat,IN,IN-01-0051,2003,-1.0532017334695523,-0.7231233593010004,ssm_fpar
wheat,IN,IN-01-0051,2004,-1.1019214427787394,-0.7023359201388688,ssm_fpar
wheat,IN,IN-01-0051,2005,-1.1044309531007337,-0.4456275444541364,ssm_fpar
wheat,IN,IN-01-0051,2006,0.49417996911475587,-0.13927861740163347,ssm_fpar
wheat,IN,IN-01-0051,2007,-0.007142716451495572,-0.4588809117506274,ssm_fpar
wheat,IN,IN-01-0051,2008,0.7993680952379788,-0.11956049095360302,ssm_fpar
wheat,IN,IN-01-0051,2009,0.31458927665802616,-0.1695004498813218,ssm_fpar
wheat,IN,IN-01-0051,2010,0.49285618078877064,-0.013918505158750578,ssm_fpar
wheat,IN,IN-01-0051,2011,0.7982524133737152,0.1363902002937088,ssm_fpar
wheat,IN,IN-01-0051,2012,-0.36213187501309463,-0.4255489068624948,ssm_fpar
wheat,IN,IN-01-0051,2013,-0.7359375872213276,-0.15895397134110853,ssm_fpar
wheat,IN,IN-01-0051,2014,0.23634762450460742,0.1212487322620332,ssm_fpar
wheat,IN,IN-01-0051,2015,-0.28170450829050064,0.12025274384832725,ssm_fpar
wheat,IN,IN-01-0051,2016,-0.5728338867770263,-0.2911760160293292,ssm_fpar
wheat,IN,IN-01-0051,2017,-0.6691815842970916,-0.13888144410782405,ssm_fpar
wheat,IN,IN-01-0052,2003,-1.2527581623857602,-1.1116810478136294,ssm_fpar
wheat,IN,IN-01-0052,2004,-1.4185348114127838,-1.0726423755685965,ssm_fpar
wheat,IN,IN-01-0052,2005,-1.2078770266467926,-1.2629796313214188,ssm_fpar
wheat,IN,IN-01-0052,2006,0.5406810385260685,-0.6881659990874338,ssm_fpar
wheat,IN,IN-01-0052,2007,-0.16843655757340945,-1.0508402095604326,ssm_fpar
wheat,IN,IN-01-0052,2008,0.829128308074934,-0.6620719173627952,ssm_fpar
wheat,IN,IN-01-0052,2009,0.29191571469627775,-0.9160518143583688,ssm_fpar
wheat,IN,IN-01-0052,2010,0.5540052525001556,-0.6815607016934702,ssm_fpar
wheat,IN,IN-01-0052,2011,0.7781507439296939,-0.522068127616471,ssm_fpar
wheat,IN,IN-01-0052,2012,-0.15981535187237106,-0.8585745247072081,ssm_fpar
wheat,IN,IN-01-0052,2013,-1.0143996784141551,-0.7062404391349403,ssm_fpar
wheat,IN,IN-01-0052,2015,-0.5210626124972314,-0.8365804934463424,ssm_fpar
wheat,IN,IN-01-0052,2017,-0.9826654832601556,-1.1543191284936172,ssm_fpar
wheat,IN,IN-01-0053,2003,-0.6084518857751745,-0.7755685651588994,ssm_fpar
wheat,IN,IN-01-0053,2005,-0.13544493239640606,-0.7824060561707823,ssm_fpar
wheat,IN,IN-01-0053,2006,1.1748504205848957,-0.05824304474784551,ssm_fpar
wheat,IN,IN-01-0053,2007,0.6197381372556944,-0.6316329634824844,ssm_fpar
wheat,IN,IN-01-0053,2008,1.2212190085961578,-0.15691311164675703,ssm_fpar
wheat,IN,IN-01-0053,2009,0.726534217478297,-0.251556452382281,ssm_fpar
wheat,IN,IN-01-0053,2010,0.8685610467027198,-0.35822497838267087,ssm_fpar
wheat,IN,IN-01-0053,2011,1.2014263392259843,0.15364585232012276,ssm_fpar
wheat,IN,IN-01-0053,2013,0.05537981041473183,-0.3185015386433947,ssm_fpar
wheat,IN,IN-01-0053,2014,0.45264191226103573,-0.20777573468778587,ssm_fpar
wheat,IN,IN-01-0053,2016,0.5802511064757825,-0.03555528413379705,ssm_fpar
wheat,IN,IN-01-0053,2017,-0.34333066874044704,-0.9309122059051855,ssm_fpar
wheat,IN,IN-01-0503,2017,-0.6148289229124798,0.07698488889937359,ssm_fpar
wheat,IN,IN-02-0902,2003,-0.1108178872430532,0.53370027212469,ssm_fpar
wheat,IN,IN-02-0902,2004,0.9572098536335523,0.18773554164567524,ssm_fpar
wheat,IN,IN-02-0902,2005,0.25581320924637807,0.33855234689766917,ssm_fpar
wheat,IN,IN-02-0902,2006,0.06187217395911228,0.17480978356312507,ssm_fpar
wheat,IN,IN-02-0902,2007,0.11807891349428389,0.7017520481901696,ssm_fpar
wheat,IN,IN-02-0902,2008,0.34663910762403505,0.6121447394794588,ssm_fpar
wheat,IN,IN-02-0902,2009,0.08326464999558147,0.6417314080407638,ssm_fpar
wheat,IN,IN-02-0902,2010,-0.3582173850089899,0.35748129706131526,ssm_fpar
wheat,IN,IN-02-0902,2011,-0.4778747777580969,0.6730916472868469,ssm_fpar
wheat,IN,IN-02-0902,2012,-0.1600471676901175,0.6722217829368589,ssm_fpar
wheat,IN,IN-02-0902,2013,-0.4999093129502822,0.8888982241227409,ssm_fpar
wheat,IN,IN-02-0902,2014,0.04297625641451745,0.9894239598547423,ssm_fpar
wheat,IN,IN-02-0902,2015,-0.1348550040639879,0.9336824506720154,ssm_fpar
wheat,IN,IN-02-0902,2016,-0.6167798737507552,0.532139780603456,ssm_fpar
wheat,IN,IN-02-0902,2017,-0.3371604407363307,1.0726677220165914,ssm_fpar
wheat,IN,IN-02-0903,2003,-0.08708555987449636,0.5091685933667182,ssm_fpar
wheat,IN,IN-02-0903,2004,0.9076348345093345,-0.020383264310289313,ssm_fpar
wheat,IN,IN-02-0903,2005,0.2750233111911961,0.3806292146631,ssm_fpar
wheat,IN,IN-02-0903,2006,0.05365193291762016,0.004757570174038297,ssm_fpar
wheat,IN,IN-02-0903,2007,0.08117794338090079,0.5977142664802473,ssm_fpar
wheat,IN,IN-02-0903,2008,0.3012863209690377,0.5133349177173989,ssm_fpar
wheat,IN,IN-02-0903,2009,0.002407057847779146,0.4699870954117792,ssm_fpar
wheat,IN,IN-02-0903,2010,-0.3745716006234234,0.5291955279260342,ssm_fpar
wheat,IN,IN-02-0903,2011,-0.4986558646083491,0.6551704362260733,ssm_fpar
wheat,IN,IN-02-0903,2012,-0.20262127808126396,0.41803588852641843,ssm_fpar
wheat,IN,IN-02-0903,2013,-0.5780815095928148,0.8658330313726894,ssm_fpar
wheat,IN,IN-02-0903,2014,-0.10091391574591865,0.8151076563811143,ssm_fpar
wheat,IN,IN-02-0903,2015,-0.15677782934849868,0.9672236178272994,ssm_fpar
wheat,IN,IN-02-0903,2016,-0.6205181065325907,0.6478605675097218,ssm_fpar
wheat,IN,IN-02-0903,2017,-0.39109014608401904,1.0748260886026,ssm_fpar
wheat,IN,IN-02-0904,2003,-0.16105014623224148,0.002320947268584564,ssm_fpar
wheat,IN,IN-02-0904,2004,0.6565910256151081,-0.4822436319503736,ssm_fpar
wheat,IN,IN-02-0904,2005,0.14897098182849958,0.005359205459330464,ssm_fpar
wheat,IN,IN-02-0904,2006,-0.1279341588842895,-0.43536120234363085,ssm_fpar
wheat,IN,IN-02-0904,2007,-0.07175613654902806,0.08676045955996407,ssm_fpar
wheat,IN,IN-02-0904,2008,0.1493232270026624,0.015353871636323527,ssm_fpar
wheat,IN,IN-02-0904,2009,-0.17070819842124826,-0.03847744551559306,ssm_fpar
wheat,IN,IN-02-0904,2010,-0.46978370668182307,-0.18774315979767991,ssm_fpar
wheat,IN,IN-02-0904,2011,-0.6127235692626531,0.17379452401918832,ssm_fpar
wheat,IN,IN-02-0904,2012,-0.3680530259801437,0.11898554952866494,ssm_fpar
wheat,IN,IN-02-0904,2013,-0.6830623300483811,0.12513727032082564,ssm_fpar
wheat,IN,IN-02-0904,2014,-0.3037623946686777,0.32368443490976934,ssm_fpar
wheat,IN,IN-02-0904,2015,-0.28682642601833974,0.5820115855340037,ssm_fpar
wheat,IN,IN-02-0904,2016,-0.6390572415854298,0.4933907080098161,ssm_fpar
wheat,IN,IN-02-0904,2017,-0.5013764172595712,0.868863769122371,ssm_fpar
wheat,IN,IN-02-0905,2003,0.1097437462187321,0.2467290148861131,ssm_fpar
wheat,IN,IN-02-0905,2004,1.091544846569619,-0.21349503011864676,ssm_fpar
wheat,IN,IN-02-0905,2005,0.7274552257197023,0.1851773382763173,ssm_fpar
wheat,IN,IN-02-0905,2006,0.21527347315926262,-0.04441734055105133,ssm_fpar
wheat,IN,IN-02-0905,2007,0.2920931794839939,0.47303224734016786,ssm_fpar
wheat,IN,IN-02-0905,2008,0.5957962347733912,0.4997956169845344,ssm_fpar
