LibSize,x:y,y:x,pair_name,E
10,0.07138405309278129,0.02155560620382424,ssm_fpar,2
20,0.07038773714946907,0.02945700758790061,ssm_fpar,2
30,0.09984914015303767,0.03162033876207321,ssm_fpar,2
40,0.10652776559750668,0.039913916732083526,ssm_fpar,2
50,0.11594722632395203,0.040483536826418816,ssm_fpar,2
60,0.11266209539317883,0.05102371426595367,ssm_fpar,2
70,0.12399394077919401,0.04660563550379397,ssm_fpar,2
80,0.13719283028521048,0.05292635039952254,ssm_fpar,2
90,0.1360257930362664,0.05221342418588316,ssm_fpar,2
100,0.14922705202207728,0.06722861935861632,ssm_fpar,2
110,0.1275975010279079,0.07281041777060102,ssm_fpar,2
120,0.14414189559184606,0.07584120940888045,ssm_fpar,2
130,0.1454780934152554,0.07292908550178658,ssm_fpar,2
140,0.1447174929515204,0.07688133632483855,ssm_fpar,2
150,0.15306868340344898,0.0719529624690123,ssm_fpar,2
10,0.1001274106500521,0.018868747755064412,ssm_fpar,3
20,0.10417061729323557,0.03377544745385316,ssm_fpar,3
30,0.12733768880646334,0.03510895476199295,ssm_fpar,3
40,0.15837825735895505,0.045615531054404475,ssm_fpar,3
50,0.17049762407890046,0.04443239420009987,ssm_fpar,3
60,0.15844755933762478,0.049423544092934674,ssm_fpar,3
70,0.18527004291268248,0.05562083809180297,ssm_fpar,3
80,0.20067931942957867,0.0605401880449973,ssm_fpar,3
90,0.20128957965628236,0.0614308935102681,ssm_fpar,3
100,0.21510187586492088,0.07481783441772227,ssm_fpar,3
110,0.1964988057298673,0.08228120676513097,ssm_fpar,3
120,0.2203936042137,0.08952528673841417,ssm_fpar,3
130,0.22314913784326756,0.08892302023733492,ssm_fpar,3
140,0.2166403760685739,0.08733421387604197,ssm_fpar,3
150,0.2270242591338647,0.09307663998160541,ssm_fpar,3
10,0.10527265575557827,0.01800521916107902,ssm_fpar,4
20,0.12966444079967746,0.0277008441757839,ssm_fpar,4
30,0.14754026247487195,0.03462069587649463,ssm_fpar,4
40,0.17753126365922256,0.04363940897673438,ssm_fpar,4
50,0.19458067066726842,0.05574112999423614,ssm_fpar,4
60,0.19613318538435012,0.05212560849021667,ssm_fpar,4
70,0.22009591136663917,0.05872656835024099,ssm_fpar,4
80,0.23708098117934576,0.06728336781972102,ssm_fpar,4
90,0.2364811937810204,0.06391140357172724,ssm_fpar,4
100,0.253192668698063,0.07693540930936069,ssm_fpar,4
110,0.23800153205847646,0.08606013612910667,ssm_fpar,4
120,0.2641489615739602,0.0917764761020754,ssm_fpar,4
130,0.26584901321689314,0.09037557376706286,ssm_fpar,4
140,0.26224079534488376,0.08847437045818772,ssm_fpar,4
150,0.2766811589702832,0.09979178132506145,ssm_fpar,4
10,0.11715977629535981,0.013994885575597082,ssm_fpar,5
20,0.14514730043207064,0.032382769242159076,ssm_fpar,5
30,0.1693558244352861,0.03153316098300754,ssm_fpar,5
40,0.19170599522926957,0.043777425632856894,ssm_fpar,5
50,0.2108495095228984,0.05231571024791111,ssm_fpar,5
60,0.22442698091331512,0.060284554673323526,ssm_fpar,5
70,0.22627234238389865,0.0610149968533984,ssm_fpar,5
80,0.2581154380402156,0.06719384732384884,ssm_fpar,5
90,0.2607663054435241,0.0756153306187026,ssm_fpar,5
100,0.27659072410485275,0.0822054565873727,ssm_fpar,5
110,0.2696779985335808,0.0951081476479908,ssm_fpar,5
120,0.28561378597038756,0.09751254900594018,ssm_fpar,5
130,0.2982820327074482,0.09602830097299561,ssm_fpar,5
140,0.28876925734360026,0.09325301540312415,ssm_fpar,5
150,0.30824634482834967,0.10574389129750132,ssm_fpar,5
10,0.13111720401545143,0.014779554865363163,ssm_fpar,6
20,0.1546588615317755,0.03340318265903435,ssm_fpar,6
30,0.18194031293893487,0.034927977562574514,ssm_fpar,6
40,0.194170046923442,0.046463628908452285,ssm_fpar,6
50,0.22240995869484936,0.05724221533776811,ssm_fpar,6
60,0.23808059234536813,0.06334611098373592,ssm_fpar,6
70,0.2375589430129758,0.0646010437284738,ssm_fpar,6
80,0.26389646052720817,0.06862899956380884,ssm_fpar,6
90,0.2737626402505388,0.07832512549328534,ssm_fpar,6
100,0.28570114439149596,0.08522353102254934,ssm_fpar,6
110,0.28347462196394047,0.09831302070779312,ssm_fpar,6
120,0.2990075380895805,0.09960645498465456,ssm_fpar,6
130,0.30862639813874077,0.09935476196882567,ssm_fpar,6
140,0.3040106105989625,0.09797179597164953,ssm_fpar,6
150,0.3184725820028628,0.1051844028195585,ssm_fpar,6
10,0.1292692480670546,0.014004573971421212,ssm_fpar,7
20,0.16137043229227085,0.03156014900292817,ssm_fpar,7
30,0.18521042494984868,0.03563968217753989,ssm_fpar,7
40,0.2004647933080688,0.04964015831315348,ssm_fpar,7
50,0.2315766123219441,0.05317758434099384,ssm_fpar,7
60,0.2392169825191295,0.06578827471817306,ssm_fpar,7
70,0.24742448679114734,0.06270378534750676,ssm_fpar,7
80,0.2692424379434873,0.0731610417781704,ssm_fpar,7
90,0.28109604136427124,0.07673889238815156,ssm_fpar,7
100,0.2831044518295414,0.0877787542808571,ssm_fpar,7
110,0.28882084758664023,0.09792204338757703,ssm_fpar,7
120,0.3045206977432375,0.09736689156804229,ssm_fpar,7
130,0.3174340441921188,0.09984981611840645,ssm_fpar,7
140,0.30877492325873906,0.09701135297747127,ssm_fpar,7
150,0.3263600846615459,0.10338207975727697,ssm_fpar,7
10,0.1254962965654386,0.017419493273556262,ssm_fpar,8
20,0.16234875994058387,0.02978991415164256,ssm_fpar,8
30,0.1848237518260752,0.0405021008488317,ssm_fpar,8
40,0.20795932691824692,0.05224958935883353,ssm_fpar,8
50,0.23080791532867487,0.05585012645905144,ssm_fpar,8
60,0.2532578677265538,0.06931383875909039,ssm_fpar,8
70,0.2568542985179944,0.06468268879888965,ssm_fpar,8
80,0.2696423636626267,0.07192435336689172,ssm_fpar,8
90,0.2828434307789817,0.08498305220466545,ssm_fpar,8
100,0.281322380779038,0.09536621448778891,ssm_fpar,8
110,0.29351257785274604,0.09629387940564191,ssm_fpar,8
120,0.3070971607808383,0.10091614753714444,ssm_fpar,8
130,0.3211369941754031,0.10668670498892668,ssm_fpar,8
140,0.3138254041631319,0.10315060597551126,ssm_fpar,8
150,0.3313192441835623,0.10614233421867766,ssm_fpar,8
