crop_name,country_code,adm_id,harvest_year,yield,production,harvest_area,sos,eos,awc,bulk_density,drainage_class,latitude,longitude,region_area,crop_area,crop_area_percentage,avg_tmin,avg_tmax,avg_tavg,avg_rad,avg_et0,avg_vpd,avg_cwb,avg_ssm,avg_rsm,avg_ndvi,avg_fpar
wheat,IN,IN-14-0001,2003,0.77,15050.0,19550.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.71141732283465,30.86014960629921,23.71032283464567,19134802.244094487,4.349425196850393,32.73205511811024,-3.986236220472441,3.7843428571428572,254.6323,0.3306875,27.08007692307692
wheat,IN,IN-14-0001,2004,0.605,11590.0,19160.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,15.942244094488188,29.781677165354335,22.634141732283464,19341581.01968504,4.233874015748031,30.660196850393703,-3.651842519685039,5.5708503937007885,292.7398503937007,0.408625,35.197833333333335
wheat,IN,IN-14-0001,2005,0.605,11590.0,19160.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.505570312499998,30.30559375,23.347765625,19311773.92578125,4.289164062499999,31.5438046875,-3.535,4.6221328125,265.181765625,0.3788125,31.107846153846157
wheat,IN,IN-14-0001,2006,0.754,14400.0,19090.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,15.556708661417323,30.182913385826776,22.754858267716532,19715774.0,4.289582677165354,31.487173228346457,-3.834212598425197,4.9385669291338585,269.22370866141733,0.3731875,31.08153846153846
wheat,IN,IN-14-0001,2007,0.963,19430.0,20170.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.346070866141734,30.35449606299213,23.24466141732284,19544193.228346456,4.294755905511811,31.479133858267716,-4.076094488188977,5.065094488188975,272.0979921259843,0.3513125,29.904
wheat,IN,IN-14-0001,2008,0.956,18890.0,19750.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,15.754212598425196,29.48504724409449,22.42251968503937,18845740.98425197,4.050220472440945,28.792913385826775,-3.5473779527559053,5.188669291338583,272.1194409448819,0.396625,34.147666666666666
wheat,IN,IN-14-0001,2009,0.943,23160.0,24550.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,17.006609375,32.0889921875,24.4217421875,19755746.609375,4.4805546875,36.838187500000004,-4.394484374999999,4.3385625,263.0849375,0.34481249999999997,29.475153846153844
wheat,IN,IN-14-0001,2010,0.985,26900.0,27300.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,17.007897637795274,31.235244094488188,24.012330708661423,19444985.44094488,4.478732283464566,34.97425196850394,-4.331322834645669,4.414952755905511,263.46199212598424,0.409,35.78261538461539
wheat,IN,IN-14-0001,2011,1.095,7400.0,6760.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.169661417322835,30.23665354330709,22.97937795275591,19351581.086614173,4.366858267716535,32.49604724409449,-3.953811023622048,4.80563779527559,269.95472440944883,0.39925,34.969692307692306
wheat,IN,IN-14-0001,2012,1.125,7490.0,6660.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,15.831559055118106,29.966811023622046,22.69708661417323,19398304.42519685,4.282842519685039,31.490732283464567,-3.728614173228346,4.73228346456693,267.84501574803164,0.3822857142857143,36.26325
wheat,IN,IN-14-0001,2013,1.133,7060.0,6230.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.3084921875,30.306171875,23.141312499999998,19295700.4453125,4.1541328125,30.592523437500002,-3.8222109374999995,5.164624999999999,276.422578125,0.414875,36.508
wheat,IN,IN-14-0001,2014,1.159,7370.0,6360.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.05672440944882,29.42571653543307,22.53492913385827,18993446.031496063,4.0563858267716535,28.36193700787402,-3.7207480314960626,5.787850393700786,294.18191338582676,0.414125,37.65276923076924
wheat,IN,IN-14-0001,2015,1.321,8430.0,6380.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,15.862110236220476,29.1841968503937,22.224834645669294,18903795.661417324,4.028795275590551,27.23525984251968,-3.6026535433070865,5.085015748031497,271.3517559055117,0.4115625,35.70061538461538
wheat,IN,IN-14-0001,2016,1.429,10190.0,7130.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,17.647944881889764,30.85970078740158,24.077574803149606,18539053.51968504,4.156527559055118,30.199133858267718,-3.7105748031496066,4.438850393700786,259.5556456692913,0.3642142857142857,33.65208333333334
wheat,IN,IN-14-0001,2017,1.023,6940.0,6780.0,339.086,101.91,10.71,1.591,4.0,21.45938,81.25028,2296.0,93.6,4.076,16.2553828125,30.462609375000007,23.207117187500003,19889078.734375,4.4261640625,32.207390625,-4.301171875,4.6787343749999994,267.750609375,0.3951875,34.879153846153855
wheat,IN,IN-14-0002,2003,1.526,1770.0,1160.0,339.96,107.284,10.745,1.573,4.0,19.22685,81.9142,5396.0,0.8,0.014,16.40666165413534,30.347661654135344,23.214556390977442,19682551.360902257,4.4344210526315795,30.722609022556387,-4.001812030075188,3.2569078947368424,171.4652105263158,0.28335294117647053,22.837923076923076
